0.2,926.75
0.4,1034.71
0.6,975.48
0.8,1010.56
1.,1005.28
1.2,1029.98
1.4,1016.71
1.6,1028.84
1.8,1062.26
2.,1039.31
2.2,1056.67
2.4,1069.73
2.6,1114.23
2.8,1056.2
3.,1030.4
3.2,1066.11
3.4,1124.54
3.6,1112.34
3.8,1056.57
4.,1095.39
4.2,1078.26
4.4,1097.01
4.6,1109.65
4.8,1103.1
5.,1127.2
5.2,1075.85
5.4,1115.37
5.6,1139.99
5.8,1108.08
6.,1122.01
6.2,1095.71
6.4,1133.89
6.6,1107.02
6.8,1149.37
7.,1134.84
7.2,1187.23
7.4,1114.86
7.6,1190.13
7.8,1198.35
8.,1196.4
8.2,1203.81
8.4,1173.63
8.6,1204.47
8.8,1190.51
9.,1167.87
9.2,1163.76
9.4,1222.22
9.6,1203.28
9.8,1239.58
10.,1250.16
